igbo_text,english_translation,theme,source,french_translation
Obi anaghi ezu agadi nwanyi ike mgbe An old woman is always uneasy,obuna aturu ilu kwuo maka okpukpu when dry bones are mentioned kporo nku in a proverb.,,Anyabuike (2020),
"E ji otu aka kuo nwata ihe, e ji aka If one hand is used in beating a","nke ozo guguo ya child, the other one is used in Translation of Igbo Proverbs and Igbo Worldview cuddling him.",,Anyabuike (2020),
Awo adighi agba oso ehihie na efu A toad does not run in the day time,for nothing.,,Anyabuike (2020),
"Nwata kwocha aka ya osoro If a child washed his hands, he",ogaranya rie ihe could eat with kings.,,Anyabuike (2020),
Egbe bere ugo bere nke si na ibe ya Let the kite perch and let the eagle,"ebena nku kwa ya perch too, if one says no to the Other, let his wings break",,Anyabuike (2020),
"Onye fee eze, eze eruo ya aka A man who pays respect to the great",Paves the way for his own greatness,,Anyabuike (2020),
Onye nwere ara anaghi anu akpu He who has breasts does not suck,a nodule,,Anyabuike (2020),
"Nwa shishi gabu oke okuko, anama A chick that will grow into a cock",ya ozugbo oputara na akwa ya can be spotted the very day it hatches,,Anyabuike (2020),
"Nne ewu nata agbara, umu ya ana When mother-cow is chewing","ele ya anya na onu grass, its young ones watch its mouth",,Anyabuike (2020),
"Nkita siri na ya dara gi, gi dara ya, The dog said if I fall down for you","Obuya bu igwuri egwu and you fall down for me, it is play",,Anyabuike (2020),
Nwata nne ya kwo na azu amaghi na A baby on its mother’s back does,uzo di anya not know that the way is long,,Anyabuike (2020),
"Ofu mkpuru aka ruta mmanu, ya ezuo ibe ya. If one finger brought oil, it soiled",the others Translation of Igbo Proverbs and Igbo Worldview,,Anyabuike (2020),
Agaghim ebi na ikpere mmiri were aso na I cannot live on the bank of a,akwo aka river and wash my hands with spittle,,Anyabuike (2020),
Agaghim ano na mmiri ncha abam na anya I cannot be in the river and allow,soap to get into my eyes,,Anyabuike (2020),
"Oko koo mmadu, mmadu ibe ya ako ya mana An animal rubs its aching flank","Oko koo anu ohia, ochie ahu ya na osisi against a tree, a man asks his kinsmen to scratch him",,Anyabuike (2020),
O nadi mma ka kporokpoto gbaa na ihu ehi It is good for interested parties,to be witnesses to events involving them (Modified ),,Anyabuike (2020),
"Nti ju inu ihe, mgbe aga egbupu isi, egburu If the ear refuses to take","ma ya instructions, when the head is cut off, the ear goes with it. [9]",,Anyabuike (2020),
Ijiji juru ige ndumodu na eso ozu aba The fly that refuses to heed to,n’ ime ili advice follows the corpse into the grave [5],,Anyabuike (2020),
"Nwata rie awo oju anu If a child eats a toad, he refuses",to eat meat in the future.,,Anyabuike (2020),
"Nwata muta iri elu, nne ya amuta ibe akwa If a child learns to climb, his",mother learns to cry,,Anyabuike (2020),
"Nwata dokaa ute ya O ga ehi ura n’ala nkiti If a child tears his mat, he will",sleep on bare floor,,Anyabuike (2020),
"Nkume tegoro osisi, ujo ejide ite If a stone climbs up a tree, fear",grips the earthen-ware pot,,Anyabuike (2020),
Umunna bu oria ukwu,Umunna is a terminal disease Translation of Igbo Proverbs and Igbo Worldview,,Anyabuike (2020),
"Igwurube chikota ukwu ha agbawa ite If locusts put their legs together,",they break a pot.,,Anyabuike (2020),
"Ekpegbuo nwa ogalanya, ebufee ya If a rich man is found guilty, he is",n’ama nna ya led past his domain,,Anyabuike (2020),
Nze zere ibe ochie If an nze aspirant respects nze title,"holders, he will achieve his ambition",,Anyabuike (2020),
O bu ibu anaghi ebu ala The load carrier does not carry the,earth.,,Anyabuike (2020),
Okuko ulo anaghi aha mmanu A home fowl does not give out fat,when cooked.,,Anyabuike (2020),
Nwanyi olu oma na-eri di,The gentle-voiced wife enjoys her marriage. ( Modified from TIP version),,Anyabuike (2020),
Ogwumagala si na ya agaghi eji maka The chameleon says it will not because,"na oku na-agba hapu ukwu- ije nna ya fire is burning, abandon the steps kuziri ya  taught him by his father. Translation of Igbo Proverbs and Igbo Worldview",,Anyabuike (2020),
"Aka ekpe kwo aka nri, aka nri akwo if the left hand washes the right hand,",aka ekpe. the right hand washes the left hand,,Anyabuike (2020),
Oke atala akpa nwa dibia ma nwa dibia The rat should not eat the medicine,ahula oke onu n’ oku. man’s bag but the medicine man should not burn the rat’s mouth.,,Anyabuike (2020),
Ora nwe eze; eze enwelu ora The public owns the king; the king,owns the public,,Anyabuike (2020),
Gidigidi bu ugwu eze,The king derives his honour from the multitude of supporters behind him,,Anyabuike (2020),
Anaghi alu ogu n’usekwu n’ihi na ma Fights are not encouraged in the,"eku agbajighi oku awa kitchen because if the soup ladle does not get broken, the earthen bowl is smashed",,Anyabuike (2020),
Ogu egbe adighi mma n’ulo It is not good to engage in fighting,involving the use of guns at home,,Anyabuike (2020),
Aka ajaja na ebute onu mmanu mmanu A mouth covered with oil due to,good food results from a hand that is soiled due to hard work,,Anyabuike (2020),
Onye amuma anaghi adi ugwu A prophet is not recognized in,n’ala nna ya his home country.,,Anyabuike (2020),
Obitechara ukpakala ka ohuru n’eji He who insists on collecting all the,isi ya agoro ala ofo pods from the oil-bean tree will land on the ground with his head as sacrifice to the gods,,Anyabuike (2020),
Mberede keji ama dike The great man is known from his,reactions to sudden events. Translation of Igbo Proverbs and Igbo Worldview,,Anyabuike (2020),
Anaghi aso mgbagbu hapu iga ogu Fear of death cannot prevent,people from engaging in wars.,,Anyabuike (2020),
"Otu onye rie agwo, ya agworo ya n’afo If one person alone eats a snake,",it curls up in his stomach,,Anyabuike (2020),
"Anu gbaa oso n’ike, a gbaa ya egbe n’ike If a game runs suddenly, it is",shot suddenly,,Anyabuike (2020),
"Agbisi gbaa ike, mgbe ozo ya amuru ako If the ant stings the buttocks, next",time they get wiser,,Anyabuike (2020),
"Amamihe bu ugwu ugwu, onweghi onye Knowledge is half-full for","nke ya juru eju. everyone, no one has his own filled to the brim.",,Anyabuike (2020),
Amaramihe n’ Aba amaghi ihe n’Abba. The wise man in Aba does not,know much in Abba,,Anyabuike (2020),
Uto ka mma n’ote aka Friendship is most pleasant,from a distance.,,Anyabuike (2020),
Nwata lelia nna ya ike akpo ya nku If a child looks down on his,"father, his buttocks dry up",,Anyabuike (2020),
