entity,domain,subcategory,source,language
Eba,food_and_cuisine,dish,wikidata,en
African salad,food_and_cuisine,dish,wikidata,en
Pancake,food_and_cuisine,dish,wikidata,en
agidi,food_and_cuisine,dish,wikidata,en
Ekuru,food_and_cuisine,dish,wikidata,en
Amala,food_and_cuisine,dish,wikidata,en
Abacha Ugba,food_and_cuisine,dish,wikidata,en
Abak atama soup,food_and_cuisine,dish,wikidata,en
Achicha Ede,food_and_cuisine,dish,wikidata,en
Bambara groundnut,food_and_cuisine,dish,wikidata,en
bambara nut pudding,food_and_cuisine,dish,wikidata,en
Banga Rice,food_and_cuisine,dish,wikidata,en
Bobozee,food_and_cuisine,dish,wikidata,en
Breadfruit Porridge,food_and_cuisine,dish,wikidata,en
danwake,food_and_cuisine,dish,wikidata,en
Ekpang Nkwukwo,food_and_cuisine,dish,wikidata,en
gizdodo,food_and_cuisine,dish,wikidata,en
Groundnut soup,food_and_cuisine,dish,wikidata,en
Kunu aya,food_and_cuisine,dish,wikidata,en
Kunun gyada,food_and_cuisine,dish,wikidata,en
Oil Bean Soup,food_and_cuisine,dish,wikidata,en
Peeled Beans Porridge,food_and_cuisine,dish,wikidata,en
Spicy cow foot,food_and_cuisine,dish,wikidata,en
Ukpo Ogede,food_and_cuisine,dish,wikidata,en
Achi Soup,food_and_cuisine,dish,wikidata,en
Egusi soup,food_and_cuisine,dish,wikidata,en
Garri,food_and_cuisine,dish,wikidata,en
Gbegiri Soup,food_and_cuisine,dish,wikidata,en
Ofe Owerri,food_and_cuisine,dish,wikidata,en
Urhobo Owho Soup,food_and_cuisine,dish,wikidata,en
Usi,food_and_cuisine,dish,wikidata,en
kilishi,food_and_cuisine,dish,wikidata,en
palm nut soup,food_and_cuisine,dish,wikidata,en
Ukodo,food_and_cuisine,dish,wikidata,en
Okro soup,food_and_cuisine,dish,wikidata,en
roselle juice,food_and_cuisine,dish,wikidata,en
Efo riro,food_and_cuisine,dish,wikidata,en
miyar kuka,food_and_cuisine,dish,wikidata,en
Tuwo masara (corn meal),food_and_cuisine,dish,wikidata,en
Nsala soup,food_and_cuisine,dish,wikidata,en
Ofada rice,food_and_cuisine,dish,wikidata,en
Edikang Ikong,food_and_cuisine,dish,wikidata,en
Afang,food_and_cuisine,dish,wikidata,en
Funkaso,food_and_cuisine,dish,wikidata,en
ogi,food_and_cuisine,dish,wikidata,en
Isi ewu,food_and_cuisine,dish,wikidata,en
Kuli-kuli,food_and_cuisine,dish,wikidata,en
waina,food_and_cuisine,dish,wikidata,en
suya,food_and_cuisine,dish,wikidata,en
Tuwon shinkafa,food_and_cuisine,dish,wikidata,en
Ofe akwụ,food_and_cuisine,dish,wikidata,en
Ukwa,food_and_cuisine,dish,wikidata,en
dambu,food_and_cuisine,dish,wikidata,en
Banga rice,food_and_cuisine,dish,wikidata,en
Ofe Oha,food_and_cuisine,dish,wikidata,en
Unripe Plantain Porridge,food_and_cuisine,dish,wikidata,en
African Salad,food_and_cuisine,dish,wikidata,en
African Rosewood plant,food_and_cuisine,dish,wikidata,en
beans and corn porridge,food_and_cuisine,dish,wikidata,en
Okoho,food_and_cuisine,dish,wikidata,en
Finger millet pap,food_and_cuisine,dish,wikidata,en
Tuwon dawa,food_and_cuisine,dish,wikidata,en
Sesame soup,food_and_cuisine,dish,wikidata,en
Fura da nono (millet and milk),food_and_cuisine,dish,wikidata,en
Yam porridge,food_and_cuisine,dish,wikidata,en
Apapa ( Beans Loaf ),food_and_cuisine,dish,wikidata,en
Fried yam(Dundun),food_and_cuisine,dish,wikidata,en
Lamba,food_and_cuisine,dish,wikidata,en
Okazi soup,food_and_cuisine,dish,wikidata,en
Afia Efere,food_and_cuisine,dish,wikidata,en
Potato fufu,food_and_cuisine,dish,wikidata,en
